รหัสร้านค้า/สาขา,ชื่อร้านค้า,รหัสหมวดหมู่,ชื่อหมวดหมู่,รหัสเมนูอาหาร,ชื่อเมนูอาหาร,ราคา (฿),สถานะการแสดงเมนูที่หน้าร้านค้า,สถานะสต็อกสินค้า,สต็อก,สต็อกคงเหลือ,เติมจำนวนสต็อกอัตโนมัติทุกวัน,เติมสต็อกเป็นจำนวน,รายละเอียดเมนู,เวลาเปิดขายเมนู,วันที่ขาย,ช่วงเวลาที่ขาย,กลุ่มตัวเลือกเสริม,รูปภาพ,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2685485808034304""",มัทฉะเลม่อนเย็น (Matcha Lemon),51,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชาเขียวมัทฉะเข้มข้น ผสมน้ำเลม่อนแท้ รสเปรี้ยวสดชื่น ตัดกับกลิ่นชาเขียวหอมลึก เย็นชื่นใจ ใส่น้ำแข็งแบบจัดเต็ม ดื่มแล้วตื่น สดใส เหมาะกับทุกเวลาในวันร้อนๆ ไม่มีนม ไม่มีครีม สายเฮลธ์ตี้ก็สบายใจได้.,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2625496126904832#2001824253843968#2025913542009344#2025914426139136#2688610151785472,https://mms.img.susercontent.com/th-11134505-7ra0s-mczrb0t9gxge03,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035963759337472""",ชานมใต้หวัน (เย็น/ปั่น),26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมไต้หวันคลาสสิก, หวานละมุน, พร้อมส่งสดใหม่!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztf-mljdjm0grtvpfe,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035964543181312""",ชาไทย (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาไทยอร่อยเข้มข้น, ปรุงสดทุกแก้ว, สั่งเลยผ่านแอพ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztj-mljd7cpjx3pc66,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035965318586880""",ชานมเฮเซลนัท (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมเฮเซลนัทหวานหอม, รสชาติสุดพิเศษ, ส่งตรงถึงมือคุณ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztk-mljfseyuhiwx7b,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035966040252416""",ชานมกาแฟ (เย็น/ปั่น),34,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมกับกาแฟ, คู่หูสำหรับเริ่มต้นวันใหม่, สั่งเลย!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztc-mljfl8ifehog3b,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035966767997440""",ชานมคาราเมล (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมคาราเมลหวานมัน, เติมเต็มความหวานให้วันสดใส, สั่งเลย!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztd-mljefhlkzdoh07,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035970393153536""",ชานมมิ้นต์ (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมมิ้นต์สดชื่น, เครื่องดื่มฉ่ำใจ, จัดส่งทันใจ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztf-mljerkc9gd8h8f,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2035971219087360""",ชานมเผือก (เย็น/ปั่น),50,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมเผือกนุ่มนวล, อร่อยละมุนทุกโอกาส, ส่งไวสุดๆ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81zte-mljdrq8n5o1w90,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2653285325527552""",ชาไทยมันม่วง,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชาไทยสูตรเข้มข้นหอมหวาน ผสานความนุ่มละมุนของมันม่วงแท้ ได้รสชาติเข้มแต่ละมุนในแก้วเดียว สีสวยไม่เหมือนใคร สดชื่น ดื่มง่าย ไม่เลี่ยน พร้อมเสิร์ฟทุกออเดอร์ ส่งตรงถึงมือคุณ.,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025914426139136#2025913542009344,https://mms.img.susercontent.com/th-11134505-81ztl-mljg0eg4lkp4ff,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822430206464""","ชานม (เย็น, ปั่น)","=""2653291415755776""",ชานมมันม่วง,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชานมรสนุ่ม กลมกล่อม สอดแทรกความหอมหวานของมันม่วงแท้ เพิ่มมิติใหม่ให้การดื่มชา อร่อย ละมุน สดชื่น สีสวยไม่ซ้ำใคร ดื่มเพลินทุกเวลา ส่งตรงถึงมือคุณ.,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztq-mljcnuoptxjjb0,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2015005470956544""",ชาผลไม้,"=""2036029215105024""",ชาส้มยูสุ,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาส้มยูสุญี่ปุ่น, รสชาติอ่อนหวาน, สดชื่นทุกคำ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rasa-m0tjr74z4jwaa6,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2015005470956544""",ชาผลไม้,"=""2036029991477760""",ชาพีช,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาพีชหวานหอม, รสชาติละมุน, ส่งตรงถึงมือคุณ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rasb-m0tjrip67hzs9e,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2015005470956544""",ชาผลไม้,"=""2036030560920064""",ชาผลไม้รวม,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาผสมผลไม้หลากหลาย, สดชื่นหลากสี, จัดส่งไว!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7ras8-m0tjrw1gongaae,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2015005470956544""",ชาผลไม้,"=""2036031220129792""",ชามิกซ์เบอร์รี่,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาเบอร์รี่มิกซ์, รสชาติหวานฉ่ำ, สดชื่นและหอมหวาน!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rasf-m0tjs8n48s6yde,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2015005470956544""",ชาผลไม้,"=""2036031881322496""",ชาพีชส้มยูสุ,64,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาพีชและส้มยูสุ, สองรสชาติในแก้วเดียว, ส่งไวถึงที่!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rase-m0tjsl5pxdqwcf,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2634634361788928""",สตรอเบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,50,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,สตรอเบอร์รี่ปั่นเนื้อเนียน รสหวานอมเปรี้ยว สดชื่น ดื่มง่าย อร่อยเต็มรสผลไม้,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81zto-mlhkbb40miof16,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2634654449867776""",(สมูทตี้) สตรอเบอร์รี่ แก้วใหญ่ 22 ออนซ์,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,สตรอเบอร์รี่ปั่นเนื้อเนียน รสหวานอมเปรี้ยว สดชื่น ดื่มง่าย อร่อยเต็มรสผลไม้,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81ztj-mlhkbo0kv56qa6,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2639167031270400""",มิกซ์เบอร์รี่ปั่น แก้วใหญ่ 22 ออนซ์,75,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,มิกซ์เบอร์รี่ปั่นเนื้อเนียน รสเปรี้ยวหวาน สดชื่น อัดแน่นเบอร์รี่หลากชนิด ดื่มง่าย ฟินเต็มแก้ว สดชื่นทุกอึก,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81zto-mlhknvndog04d4,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2639168936892928""",(สมูทตี้) มิกซ์เบอร์รี่ แก้วใหญ่ 22 ออนซ์,72,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,สมูทตี้มิกซ์เบอร์รี่เนื้อเนียน ข้น ผสมโยเกิร์ตสดหลายชั้น รสเปรี้ยวหวาน หอมละมุน สดชื่น ดื่มแล้วฟิน อิ่มอร่อยจนหยุดไม่อยู่!,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81ztn-mlhktupj5hqbb9,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2640118287964672""",ส้มปั่น แก้วใหญ่ 22 ออนซ์,47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ส้มปั่นเนื้อเนียน ข้น สีส้มสด รสชาติเปรี้ยวหวานสดชื่น ดื่มง่าย สดชื่นทุกอึก,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81ztm-mlhl5f8ln5dv0a,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2640133131557376""",(สมูทตี้) ส้ม แก้วใหญ่ 22 ออนซ์,68,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,สมูทตี้ส้มปั่นผสมโยเกิร์ต เนื้อเนียน ข้น มีชั้นโยเกิร์ตเพิ่มความละมุน รสชาติเปรี้ยวหวาน สดชื่น หอมอร่อย ดื่มแล้วสดชื่น,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81ztg-mlhl9yfx0d8he1,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2643251108862464""",มะม่วงปั่น แก้วใหญ่ 22 ออนซ์,57,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,มะม่วงปั่นเนื้อเนียน ข้น สีเหลืองสด รสหวานหอม สดชื่น ดื่มง่าย,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81zti-mlhlfpnaark392,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2643254118750720""",(สมูทตี้) มะม่วง แก้วใหญ่ 22 ออนซ์,72,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,สมูทตี้มะม่วงผสมโยเกิร์ต เนื้อเนียน ข้น มีชั้นโยเกิร์ตเพิ่มความละมุน รสหวานหอม สดชื่น ดื่มแล้วอร่อย ฟินจนหยุดไม่อยู่!,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344,https://mms.img.susercontent.com/th-11134505-81ztp-mlhlk8ajphj530,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2620448031595520""",ผลไม้ปั่น & สมูทตี้,"=""2653300422876160""",(สมูทตี้) มันม่วง แก้วใหญ่ 22 ออนซ์,63,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,สมูทตี้เนื้อละมุน ปั่นจากมันม่วงแท้ หวานน้อย สดชื่น สีสวยไม่เหมือนใคร เย็นข้น ดื่มเพลิน อิ่มเบา ๆ ในแก้วเดียว เหมาะทั้งสายสุขภาพและสายถ่ายรูป พร้อมส่งตรงถึงมือคุณ.,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztl-mlhlo13c0npd4b,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035945924894720""",โอวัลติน (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"โอวัลตินคลาสสิก, หวานมัน ชาร์จพลังกายและใจ, สั่งได้เลย!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztd-mlk9ahvosruq99,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035946936360960""",นมสดเย็น (เย็น/ปั่น),34,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดเย็นๆ หวานนุ่ม, เพลิดเพลินทุกเวลา, ส่งเร็วถึงมือ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztn-mlkf0al47lduc8,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035948064661504""",นมสดน้ำผึ้ง (เย็น/ปั่น),47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดแท้ผสมน้ำผึ้งธรรมชาติ, หวานอย่างมีสุขภาพ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztj-mlkfc180f6rs36,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035948795551744""",นมสดคาราเมล (เย็น/ปั่น),47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดคาราเมลเข้มข้น, เติมความหวานให้วันธรรมดา, สั่งง่าย!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81zte-mlkgkg94rp4w19,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035949566386176""",นมมรกต (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดมรกต, สีสันใหม่ของความหวาน, ชวนลิ้มลอง!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81zte-mlkfo39n7u9v37,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035950191992832""",นมสดเผือก (เย็น/ปั่น),47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดเผือกหอมหวาน, รสชาติละมุนละไม, ส่งไวถึงบ้าน!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztj-mlkg4egrqjgia8,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035951546671104""",นมสดมิ้นต์ (เย็น/ปั่น),47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดมิ้นต์ซ่าหวาน, เติมความสดชื่น, ส่งทันใจ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztg-mlkgq12gmlu048,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035952592658432""",ไมโล (เย็น/ปั่น),34,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ไมโลสำหรับคนรักช็อกโกแลต, เพิ่มพลัง, จัดส่งเร็ว!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztl-mlk9fg2gp5hde2,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035953395212800""",นมสดไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),64,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดไข่มุกหวานหอม, ราดบราวน์ชูการ์, ส่งตรงถึงบ้าน!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztn-mlk96o5tj1mqf3,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035954600386560""",นมสดเฮเซลนัท (เย็น/ปั่น),47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมสดหอมเฮเซลนัทเข้มข้น, รสชาติหวานมัน, จัดส่งทันที!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81zth-mlkfxvrw7kld8c,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2035955132063744""",นมชมพู (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"นมชมพูผสมสตรอว์เบอร์รี, หวานอมเปรี้ยว, สดชื่นและสวยงาม!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81zto-mlkg8r0k6neq1f,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2001822089795584""","นม (เย็น, ปั่น)","=""2653296383105536""",นมสดมันม่วง,55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,นมสดหอมมัน ผสมกับมันม่วงแท้ รสหวานละมุน กลิ่นหอมอ่อน ๆ ดื่มง่าย สดชื่น สีม่วงสวยไม่ซ้ำ เพิ่มความสนุกในทุกแก้ว พร้อมส่งตรงถึงคุณ.,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztq-mlk8zypeiosve1,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2591165597489664""","เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)","=""2591167330294272""",น้ำเต้าหู้สูตรดั้งเดิม (เย็น/ปั่น),34,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,น้ำเต้าหู้สูตรดั้งเดิม,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-7rasf-macnrknkuhfj7f,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2591165597489664""","เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)","=""2591168375168000""",น้ำเต้าหู้นมสด (เย็น/ปั่น),42,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,น้ำเต้าหู้เนื้อนุ่ม รสละมุนกว่าปกติ เหมาะกับวันที่อยากได้อะไรเบา ๆ แต่ยังหอม มันนิด ๆ,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-7rasa-macnswf1139b28,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2591165597489664""","เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)","=""2591173929278464""",น้ำเต้าหู้โอวัลติน (เย็น/ปั่น),34,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,น้ำเต้าหู้หอมถั่วผสมรสช็อกโกแลตกลมกล่อม ดื่มง่าย หวานนิด ๆ หรือเลือกไม่หวานก็ได้,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-7rasl-maco0ievzpg0eb,
